product_1_id,product_2_id,product_1_name,product_2_name,brand_1,brand_2,category,size_value_1,size_unit_1,size_value_2,size_unit_2,price_1,price_2,currency_1,currency_2,date_collected_1,date_collected_2,date_key_1,date_key_2,retailer_1,retailer_2,similarity,name_similarity,brand_similarity,size_similarity,price_1_per_unit,price_2_per_unit,borderline
PRD0ac1e5bb,PRD1c771653,Tree Hut Whipped Body Butter Vanilla,skinnydip london Supermarket Vanilla Body Butter,Tree Hut,,Body Butter,,,200.0,g,11.99,8.0,GBP,GBP,20251108_121345,20251108_121407,20251108,20251108,Boots.com,Skinnydip,70.1,60.09,50.0,50.0,,0.04,False
PRD16ccacb6,PRD736548b6,"20% Vitamin C Serum, Korean Serum with Hyaluronic Acid, Anti Aging Face Serums For Wrinkles & Fine Lines, Moisturizing Dark Spot Remover for Face","20% Vitamin C Serum, Korean Skin Care Serum with Hyaluronic Acid, Anti-aging Face Serum for Dry and Dull Skin, Reduce Wrinkles & Fine Lines, Fast",,,Face Serum,,,,,7.99,7.19,GBP,GBP,20251108_121131,20251108_121214,20251108,20251108,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,91.3,81.26,50.0,50.0,,,False
PRD1c771653,PRDe51784bf,skinnydip london Supermarket Vanilla Body Butter,Cocoa & Vanilla Body Butter,,Cocoa,Body Butter,200.0,g,,,8.0,15.99,GBP,GBP,20251108_121407,20251108_121425,20251108,20251108,Skinnydip,Amazon.co.uk - Amazon.co.uk-Seller,82.8,72.84,50.0,50.0,0.04,,False
PRD1e850c4f,PRD1e850c4f,Faith in Nature Coconut & Shea Butter Shampoo Bar,Faith in Nature Coconut & Shea Butter Shampoo Bar,Faith in Nature,Faith in Nature,Shampoo Bar,,,,,4.5,7.0,GBP,GBP,20251108_120316,20251108_120316,20251108,20251108,Amazon.co.uk,Holland & Barrett,100.0,100.0,100.0,50.0,,,False
PRD262fb52b,PRDb4f21699,Beautypie Niacinamide Serum,Anua Niacinamide Dark Spot Correcting Serum,Beautypie Niacinamide,Anua Niacinamide,Face Serum,,,,,25.0,19.8,GBP,GBP,20251108_121214,20251108_121026,20251108,20251108,Beauty Pie,Boots.com,92.7,62.71,100.0,50.0,,,False
PRD2b7cfdfa,PRD736548b6,"Vitamin C Serum For Face, 20% Vitamin C Serum With Hyaluronic Acid For Collagen Boost, Anti-Wrinkle,Anti-Aging,Dark Circle,Sun Damage,Brighten Hydrate","20% Vitamin C Serum, Korean Skin Care Serum with Hyaluronic Acid, Anti-aging Face Serum for Dry and Dull Skin, Reduce Wrinkles & Fine Lines, Fast",Vitamin C,,Face Serum,,,,,6.99,7.19,GBP,GBP,20251108_121214,20251108_121214,20251108,20251108,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,79.6,69.57,50.0,50.0,,,False
PRD30aa3e75,PRDaabefebb,NATURE WELL Shea Body Butter Variety Pack Includes Grapefruit,Nature Well Shea Body Butter Variety Pack,NATURE WELL,Nature Well,Body Butter,,,,,26.7,26.7,GBP,GBP,20251108_121535,20251108_121547,20251108,20251108,eBay - checkmystores,eBay - checkmystores,100.0,84.46,100.0,50.0,,,False
PRD32fe73d4,PRD89977d16,5 In 1 Hyaluronic Acid Face Serum (),"Hyaluronic Acid Serum for Face, Hyaluronic Acid Hydrating Serum with Vitamin B5, B5 Serum Skincare, Anti Aging Face Serum for Barrier Repair, Fade",,Hyaluronic Acid,Face Serum,2.0,pcs,,,3.5,6.99,GBP,GBP,20251108_121131,20251108_121131,20251108,20251108,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,79.3,69.26,50.0,50.0,1.75,,False
PRD337887dc,PRDad74e0eb,Mango Butter Refined / Resealable Pouch,Mango Butter,Mango Butter,Mango Butter,Body Butter,25.0,g,,,3.19,4.45,GBP,GBP,20251108_121535,20251108_121535,20251108,20251108,TheSoapery,Aromantic,100.0,71.86,100.0,50.0,0.1276,,False
PRD4e398236,PRD59be1a2b,Dr Shea Shimmer Vanilla Shea Butter Body Butter,Dr. Shea Body Butter Confident Coconut Moisturizing Body Cream,Dr Shea,Dr. Shea,Body Butter,,,,,14.99,14.99,GBP,GBP,20251108_121425,20251108_121439,20251108,20251108,Share the Shea,Amazon.co.uk - Amazon.co.uk-Seller,94.1,64.13,100.0,50.0,,,False
PRD5b6320ff,PRD4619ebd6,Kitsch Shea Butter Hydrating Conditioner Bar,Shea Butter Conditioner Bar,Kitsch,Shea Butter,Conditioner Bar,,,,,8.9,6.0,GBP,GBP,20251108_120817,20251108_120918,20251108,20251108,eBay,Slater Cosmetics,71.4,86.44,0.0,50.0,,,False
PRD6141f325,PRD32fe73d4,Boots Ingredients Hyaluronic Acid Serum,5 In 1 Hyaluronic Acid Face Serum (),Boots Ingredients,,Face Serum,,,2.0,pcs,5.5,3.5,GBP,GBP,20251108_121026,20251108_121131,20251108,20251108,Boots.com,Amazon.co.uk - Amazon.co.uk-Seller,70.5,60.49,50.0,50.0,,1.75,False
PRD736548b6,PRDc3be8ff7,"20% Vitamin C Serum, Korean Skin Care Serum with Hyaluronic Acid, Anti-aging Face Serum for Dry and Dull Skin, Reduce Wrinkles & Fine Lines, Fast",grüum Youth Restoring Skin Gel Serum Face Glow Anti aging Vitamin C Serum for Women with Hyaluronic Acid,,,Face Serum,,,30.0,ml,7.19,13.0,GBP,GBP,20251108_121214,20251108_121231,20251108,20251108,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,79.9,69.87,50.0,50.0,,0.4333333333333333,False
PRD73e83d02,PRDc3be8ff7,"DR RASHEL Vitamin C Face Serum, Brightening & Anti-aging Facial Serum, Vitamin C Serum for Face with Hyaluronic Acid, Organic Vitamin C Serum for Face",grüum Youth Restoring Skin Gel Serum Face Glow Anti aging Vitamin C Serum for Women with Hyaluronic Acid,DR RASHEL,,Face Serum,,,30.0,ml,7.49,13.0,GBP,GBP,20251108_121214,20251108_121231,20251108,20251108,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,81.4,71.41,50.0,50.0,,0.4333333333333333,False
PRD748bbbbc,PRD2b7cfdfa,Trilogy Vitamin C+ Super Serum,"Vitamin C Serum For Face, 20% Vitamin C Serum With Hyaluronic Acid For Collagen Boost, Anti-Wrinkle,Anti-Aging,Dark Circle,Sun Damage,Brighten Hydrate",Trilogy Vitamin,Vitamin C,Face Serum,,,,,36.2,6.99,GBP,GBP,20251108_121214,20251108_121214,20251108,20251108,Holland & Barrett,Amazon.co.uk - Amazon.co.uk-Seller,81.9,51.93,100.0,50.0,,,False
PRD8735fe9a,PRD991441ba,Q+A Hyaluronic Acid Facial Serum,BEAUTYPRO HYALURONIC ACID Hydrating Serum,Q+A Hyaluronic,BEAUTYPRO HYALURONIC,Face Serum,,,,,5.56,10.0,GBP,GBP,20251108_121026,20251108_121231,20251108,20251108,Holland & Barrett,Next,99.3,69.29,100.0,50.0,,,False
PRD942b49b3,PRD3ea36cb3,"PDRN Pink Peptide Serum With SPF30–Korean Skincare for Wrinkles&Hydration,Niacinamide Face Serum,Dark Spot Corrector&Barrier Repair,Hyperpigmentation","PDRN Pink Peptide Serum- Korean Skincare PDRN Serum,Dark Spot Remover,Niacinamide Face Serum for Dark Spots & Barrier Repair,Hydrating,Moisturizing",PDRN Pink,PDRN Pink,Face Serum,,,,,9.39,8.99,GBP,GBP,20251108_121214,20251108_121214,20251108,20251108,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,100.0,77.46,100.0,50.0,,,False
PRDa007b882,PRD337887dc,Mango Butter Refined,Mango Butter Refined / Resealable Pouch,Mango Butter,Mango Butter,Body Butter,,,25.0,g,12.99,3.19,GBP,GBP,20251108_121439,20251108_121535,20251108,20251108,Naissance UK,TheSoapery,100.0,80.27,100.0,50.0,,0.1276,False
PRDb4f21699,PRDd65f77fd,Anua Niacinamide Dark Spot Correcting Serum,Niacinamide Serum,Anua Niacinamide,Niacinamide Serum,Face Serum,,,30.0,ml,19.8,10.0,GBP,GBP,20251108_121026,20251108_121231,20251108,20251108,Boots.com,tangerins.com,100.0,76.82,100.0,50.0,,0.3333333333333333,False
PRDb606f350,PRDfbf2977a,Shea Sea Buckthorn Whipped Body Butter,Shea Butter Refined,Shea Sea,Shea Butter,Body Butter,,,,,4.0,8.1,GBP,GBP,20251108_121425,20251108_121439,20251108,20251108,m'ṣará botanicals,The Soap Kitchen,91.1,61.07,100.0,50.0,,,False
PRDb87918cf,PRDf55f26f8,No7 Radiance 15% Vitamin C Serum,15% Vitamin C Complex,No7 Radiance,,Face Serum,25.0,ml,,,16.16,36.0,GBP,GBP,20251108_121214,20251108_121214,20251108,20251108,Amazon.co.uk - Amazon.co.uk-Seller,indē wild UK,71.9,61.91,50.0,50.0,0.6464,,False
PRDbaee4e15,PRD1cf0d660,Eclat Organic Niacinamide Serum for Face,"Japan Skincare Serum Ampoule, Che rry Blo ssom renewal Serum for Face, Anti Aging Face Serum with Hyaluronic Acid & Niacinamide, Plumping",Eclat Organic,,Face Serum,,,30.0,pcs,7.99,9.99,GBP,GBP,20251108_121131,20251108_121214,20251108,20251108,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,71.1,61.11,50.0,50.0,,0.333,False
PRDc32dd309,PRD1a37a082,The Ordinary Hyaluronic Acid 2% + B5,The Ordinary Marine Hyaluronics,The Ordinary,The Ordinary,Face Serum,,,,,8.8,8.8,GBP,GBP,20251108_121026,20251108_121231,20251108,20251108,Boots.com,John Lewis & Partners,89.6,59.64,100.0,50.0,,,False
PRDce9b3f2d,PRDce9b3f2d,The Ordinary Niacinamide 10% + Zinc 1%,The Ordinary Niacinamide 10% + Zinc 1%,The Ordinary,The Ordinary,Face Serum,,,,,6.93,5.0,GBP,GBP,20251108_121026,20251108_121026,20251108,20251108,The Ordinary,Boots.com,100.0,100.0,100.0,50.0,,,False
PRDdb639c8a,PRD736548b6,"Korean Skin Care 20% Vitamin C Serum,Vitamin C Moisturiser for Face,Vitamin C Brightening Serum,wrinkle serum,Anti-Aging Face Serum for Glowing Skin","20% Vitamin C Serum, Korean Skin Care Serum with Hyaluronic Acid, Anti-aging Face Serum for Dry and Dull Skin, Reduce Wrinkles & Fine Lines, Fast",Korean Skin,,Face Serum,,,,,8.99,7.19,GBP,GBP,20251108_121131,20251108_121214,20251108,20251108,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,83.2,73.2,50.0,50.0,,,False
PRDdc65729d,PRDf1b0c5d0,Body Butter with Mango Butter – Lime,Body Butter with Mango Butter – Patchouli and Orange,Body Butter,Body Butter,Body Butter,,,,,7.99,7.99,GBP,GBP,20251108_121505,20251108_121547,20251108,20251108,Handmade Fever,Handmade Fever,100.0,80.46,100.0,50.0,,,False
PRDf098e420,PRDdc65729d,Body Butter For Dry Skin Mango (body Butter),Body Butter with Mango Butter – Lime,Body Butter,Body Butter,Body Butter,50.0,ml,,,24.91,7.99,GBP,GBP,20251108_121505,20251108_121505,20251108,20251108,eBay - onebioshopcom,Handmade Fever,100.0,71.09,100.0,50.0,0.4982,,False
PRDf7fd4b86,PRD2b7cfdfa,Naturium Vitamin C Complex Face Serum with Hyaluronic Acid & Vitamin E,"Vitamin C Serum For Face, 20% Vitamin C Serum With Hyaluronic Acid For Collagen Boost, Anti-Wrinkle,Anti-Aging,Dark Circle,Sun Damage,Brighten Hydrate",Naturium Vitamin,Vitamin C,Face Serum,,,,,9.38,6.99,GBP,GBP,20251108_121131,20251108_121214,20251108,20251108,Amazon.co.uk,Amazon.co.uk - Amazon.co.uk-Seller,98.4,68.42,100.0,50.0,,,False
PRDfbf2977a,PRD8a71614b,Shea Butter Refined,Shea Butter – Refined Resealable Pouch,Shea Butter,Shea Butter,Body Butter,,,,,8.1,30.95,GBP,GBP,20251108_121439,20251108_121547,20251108,20251108,The Soap Kitchen,TheSoapery,100.0,80.56,100.0,50.0,,,False
PRDfce740e3,PRD32fe73d4,CeraVe Hydrating Hyaluronic Acid Serum,5 In 1 Hyaluronic Acid Face Serum (),CeraVe Hydrating,,Face Serum,,,2.0,pcs,16.1,3.5,GBP,GBP,20251108_121026,20251108_121131,20251108,20251108,Boots.com,Amazon.co.uk - Amazon.co.uk-Seller,72.4,62.4,50.0,50.0,,1.75,False
