product_1_id,product_2_id,product_1_name,product_2_name,price_1,price_2,currency_1,currency_2,retailer_1,retailer_2,similarity
PRDd75d3f6a,PRDcac1ed2c,"Shampoo Bar Castor Oil, Castors Oils Conditioner Bar, Solid Bars Shampoo for Hydration, Strengthening and Moisturizing, Organic Castors Oils for","Shampoo Bar Castor Oil, Castors Oils Conditioner Bar, Solid Bars Shampoo for Hydration, Strengthening and Moisturizing, Organic Castors Oils for",5.69,5.69,GBP,GBP,amazon.co.uk - amazon.co.uk-seller,amazon.co.uk - amazon.co.uk-seller,100.0
PRD177034ff,PRD3e158b60,Tree Hut Tropic Glow Whipped Shea Body Butter,Tree Hut Whipped Body Butter,15.99,15.99,GBP,GBP,holland & barrett,holland & barrett,100.0
PRD6ac91761,PRDe408fb7b,Coconut Curls Conditioning Shampoo Bar,Coconut Curls Conditioning Shampoo Bar Trial Size,5.49,5.49,GBP,GBP,bloom in soap,bloom in soap,100.0
PRDb5b5c690,PRDd4987f16,Folk Soap Conditioner Bar,Folk Soap Solid Conditioner Bar,7.0,7.0,GBP,GBP,folk soap,folk soap,100.0
PRDfc3ffa8f,PRDeaaa054c,Herbal Shampoo Bar For Hair Loss | Controls Shedding | Dandruff &,Herbal Shampoo Bar For Hair Loss | Controls Shedding Dandruff &,11.64,11.64,GBP,GBP,ebay - adeliaren,ebay - hupinger,100.0
PRD61bdf989,PRDeaaa054c,Herbal Shampoo Bar For Hair Loss | Controls Shedding Dandruff | &,Herbal Shampoo Bar For Hair Loss | Controls Shedding Dandruff &,11.64,11.64,GBP,GBP,ebay - greensummer,ebay - hupinger,100.0
PRD61bdf989,PRDfc3ffa8f,Herbal Shampoo Bar For Hair Loss | Controls Shedding Dandruff | &,Herbal Shampoo Bar For Hair Loss | Controls Shedding | Dandruff &,11.64,11.64,GBP,GBP,ebay - greensummer,ebay - adeliaren,100.0
PRD548e30a0,PRD6a6a6076,Kitsch Rice Water Shampoo & Conditioner Set,Kitsch Rice Water Shampoo & Conditioner Set,21.75,21.75,GBP,GBP,kitsch,kitsch,100.0
PRD986bcd32,PRD3e158b60,Tree Hut Vanilla Whipped Body Butter,Tree Hut Whipped Body Butter,15.99,15.99,GBP,GBP,boots.com,holland & barrett,100.0
PRD924c1d5c,PRDf0cdad04,Saltair Multi- Lipid Body Butter Salt Water Vanilla,Saltair Multi- Lipid Body Butter,23.0,23.0,GBP,GBP,space nk,space nk,100.0
PRD2fedfae2,PRD4b06da80,ANIHANA Shampoo and Conditioner Bar,ANIHANA Shampoo and Conditioner Bar,7.81,7.81,GBP,GBP,ebay - uceverything,ebay - uceverything,100.0
PRD911246d1,PRD6f65277d,Hair Blocks Solid Shampoo Bar,Hair Blocks Solid Shampoo Bar Mint & Grapefruit,9.0,8.99,GBP,GBP,amazon.co.uk,regn,99.99
PRDc2aad00e,PRD9418e906,Susanne Kaufmann Body Butter,Susanne Kaufmann Body Butter For The Senses,60.0,60.05,GBP,GBP,susanne kaufmann,nose,99.99
PRDc5fa35a7,PRD9d7c5141,Garnier Ultimate Blends Honey Treasures Strengthening Shampoo Bar,Garnier Honey Shampoo Bar,4.0,3.99,GBP,GBP,boots.com,la image,99.97
PRD88a8908b,PRDeaaa054c,Herbal Shampoo Bar For Hair Loss | Controls Shedding & Dandruff,Herbal Shampoo Bar For Hair Loss | Controls Shedding Dandruff &,11.73,11.64,GBP,GBP,ebay - lollipopzuhe,ebay - hupinger,99.92
PRD88a8908b,PRDfc3ffa8f,Herbal Shampoo Bar For Hair Loss | Controls Shedding & Dandruff,Herbal Shampoo Bar For Hair Loss | Controls Shedding | Dandruff &,11.73,11.64,GBP,GBP,ebay - lollipopzuhe,ebay - adeliaren,99.92
PRD61bdf989,PRD88a8908b,Herbal Shampoo Bar For Hair Loss | Controls Shedding Dandruff | &,Herbal Shampoo Bar For Hair Loss | Controls Shedding & Dandruff,11.64,11.73,GBP,GBP,ebay - greensummer,ebay - lollipopzuhe,99.92
PRDab6f59b8,PRD30f1d99b,Palmer's Cocoa Butter Formula,Palmer's Cocoa Butter Formula Tummy Butter For Stretch Marks,6.89,6.99,GBP,GBP,pak cosmetic centre,spotofglam.co.uk,99.86
PRDfc62bf90,PRD3ec478bc,Sol De Janeiro Delicia Drench Body Butter,Sol De Janeiro Delicia Drench Body Butter Travel,8.09,7.95,GBP,GBP,ebay,ebay - adelp23,99.83
PRD376b27ad,PRD7371ca8e,Our Natural Hand Made Shampoo Bar,Our Natural Shampoo Bar,7.3,7.5,GBP,GBP,wild sage + co,wild sage + co,99.73
PRDd953bdc4,PRDe9b597c0,"Solid Conditioner Bar with Avocado, Flax, Lavender and Rosemary",Solid Conditioner Bar - Lavender,7.0,6.67,GBP,GBP,etsy - folksoap,ebay,99.53
PRDb526dedc,PRD5d98b9e5,Shampoobars Conditioner Bar,Shampoobars Conditioner Bar Lavendel,8.2,7.79,GBP,GBP,salontotal.co.uk,boozyshop,99.5
PRD24781688,PRDd6689d60,Kitsch Coconut Oil Deep Moisturizing Conditioner Bar,"Kitsch Coconut Oil Conditioner Bar - Hair Conditioner For Women and Men - Deep Moisturizing, Nourishes, Hydrate & Soften Damaged Dry Hair",12.0,12.99,GBP,GBP,curl care,amazon.co.uk - amazon.co.uk-seller,99.24
PRD23a200da,PRD15097989,Dorothy Perkins Unisex Face Serum,Dorothy Perkins Unisex Clear Face Serum,11.99,12.99,GBP,GBP,superdrug.com,superdrug.com,99.23
PRD314b68c4,PRD6d59491f,Solid Conditioner Bar For Oily Hair,Solid Conditioner Bar,9.5,10.37,GBP,GBP,bain & savon,blue jewel handcrafted,99.16
PRDfb997879,PRD6d59491f,Solid Conditioner Bar For Brittle And Heat Damaged Hair,Solid Conditioner Bar,9.5,10.37,GBP,GBP,bain & savon,blue jewel handcrafted,99.16
PRDf7a3a1d1,PRD6d59491f,Solid Conditioner Bar for Greasy Roots and Fine Hair,Solid Conditioner Bar,9.5,10.37,GBP,GBP,buddha & bubbles soap co,blue jewel handcrafted,99.16
PRD326a36e8,PRD6d59491f,Solid Conditioner Bar For Normal Hair,Solid Conditioner Bar,9.5,10.37,GBP,GBP,bain & savon,blue jewel handcrafted,99.16
PRD003c61e4,PRD38be4dde,Shampoo Bar - - Fragrance Free | Friendly Soap,- Shampoo Bars - Fragrance Free | Friendly Soap,33.15,33.15,GBP,GBP,friendly soap,friendly soap,99.14
PRDd987acec,PRD78142e75,Sanctuary Spa Body Butter,Sanctuary Spa Signature Natural Oils Melting Pearl Body Butter,12.49,13.73,GBP,GBP,amazon.co.uk,amazon.co.uk,99.1
PRDbb0cc63b,PRDe9b597c0,Solid Conditioner Bar Lavender and Geranium,Solid Conditioner Bar - Lavender,5.99,6.67,GBP,GBP,uneeka,ebay,98.98
PRD911246d1,PRD72b4043d,Hair Blocks Solid Shampoo Bar,Hair Blocks Solid Shampoo Bar Lemon & Rosemary,9.0,8.06,GBP,GBP,amazon.co.uk,babi pur,98.96
PRD67541c15,PRD3e158b60,Tree Hut Watermelon Whipped Body Butter,Tree Hut Whipped Body Butter,14.1,15.99,GBP,GBP,notino.co.uk,holland & barrett,98.82
PRDdee97aba,PRD6d59491f,Solid Conditioner Bar - Colour Treated & Damaged Hair,Solid Conditioner Bar,8.95,10.37,GBP,GBP,yoyo grocery co,blue jewel handcrafted,98.63
PRD4f7065e2,PRD8b042c59,HiBAR Solid Conditioner,HiBAR Solid Conditioner Maintain Bar,22.21,18.5,GBP,GBP,ebay - mygoodfriday,snapklik.com,98.33
PRD76c234bd,PRD1d5c7de4,Beauty of Joseon Glow Serum,Beauty of Joseon Glow Deep Serum,14.99,12.0,GBP,GBP,superdrug.com,boots.com,98.01
PRD666ebf62,PRD6a2cabd0,No7 Future Renew Damage Reversal Serum,No7 Future Renew Damage Reversal Night Serum,47.95,37.95,GBP,GBP,no7 beauty,boots.com,97.91
PRD4a89a3ef,PRD3e158b60,Tree Hut Moroccan Rose Whipped Body Butter,Tree Hut Whipped Body Butter,12.65,15.99,GBP,GBP,care to beauty,holland & barrett,97.91
PRDd987acec,PRD9f935292,Sanctuary Spa Body Butter,Sanctuary Spa Golden Sandalwood Melting Body Butter,12.49,15.99,GBP,GBP,amazon.co.uk,amazon.co.uk,97.81
PRD19e5fe61,PRD48b03747,Bomb Cosmetics Shampoo Bar,Bomb Cosmetics Like A Virgin Shampoo Bar,6.99,9.48,GBP,GBP,bomb cosmetics uk,amazon.co.uk - amazon.co.uk-seller,97.37
PRDfc62bf90,PRDd8ee245e,Sol De Janeiro Delicia Drench Body Butter,"Sol De Janeiro Delicia Drench Body Butter, 59, Mini/travel Size",8.09,10.99,GBP,GBP,ebay,ebay - tjjcl0,97.36
PRD5b6320ff,PRDb8b73716,Kitsch Shea Butter Hydrating Conditioner Bar,Kitsch Shea Butter Conditioner Bar,10.5,14.45,GBP,GBP,lookfantastic,amazon.co.uk - amazon.co.uk-seller,97.27
PRD046ac2da,PRD6d59491f,Solid Conditioner Bar – Sunshine Co-operative,Solid Conditioner Bar,7.5,10.37,GBP,GBP,sunshine co-operative,blue jewel handcrafted,97.23
PRDd8ee245e,PRD3ec478bc,"Sol De Janeiro Delicia Drench Body Butter, 59, Mini/travel Size",Sol De Janeiro Delicia Drench Body Butter Travel,10.99,7.95,GBP,GBP,ebay - tjjcl0,ebay - adelp23,97.23
PRDfcb66de9,PRDb173d35a,Hair Conditioner Bar- - Patchouli & Sandalwood - SUMA,Hair Conditioner Bar,5.75,8.0,GBP,GBP,the evolution,skinsolace.co.uk,97.19
PRD6552329b,PRD60c141e5,The Ordinary Retinol 0.5% in Squalane,The Ordinary Retinol 1% in Squalane,7.8,8.5,GBP,GBP,boots.com,amazon.co.uk,97.06
PRDdf774956,PRDcb51ca07,"DATSIT - Organic Body Butter | Handmade | Vegan | Cruelty Free | No Preservatives | No Artificial Ingredients | FRESH: Lavender, Lemon & Peppermint",DATSIT - Organic Body Butter | Handmade | Vegan | Cruelty Free | No Preservatives | No Artificial Ingredients | FLORAL: Lavender & Rose - (),15.0,15.0,GBP,GBP,amazon.co.uk - amazon.co.uk-seller,amazon.co.uk - amazon.co.uk-seller,96.15
PRDdd7d2b89,PRDe5fcf401,Hairy Jayne Musk Shampoo Bar with Holder Bundle,Hairy Jayne Floral Shampoo Bar with Holder Bundle,15.0,15.0,GBP,GBP,hairy jayne,hairy jayne,96.07
PRD90003c50,PRD79a816d3,Scottish Botanicals Witch Hazel Shampoo Bar,Scottish Botanicals Hop Shampoo Bar,12.5,12.5,GBP,GBP,amazon.co.uk - amazon.co.uk-seller,amazon.co.uk - amazon.co.uk-seller,95.76
PRDb8f51b0b,PRD75d0cedd,Panier des Sens Solid Shampoo for Oily Hair,Panier des Sens Solid Shampoo Bar for Dry Hair,8.7,8.7,GBP,GBP,panier des sens,panier des sens,95.68
PRDee0e9c6f,PRD54ce4ee3,Hype Miami Spice Whipped Body Butter .,Hype Miami Sun Whipped Body Butter .,10.66,10.66,GBP,GBP,ebay - runwaybeautystore,ebay - runwaybeautystore,95.62
PRD54ce4ee3,PRD5fcf8db2,Hype Miami Sun Whipped Body Butter .,Hype Miami Ocean Whipped Body Butter .,10.66,10.66,GBP,GBP,ebay - runwaybeautystore,ebay - runwaybeautystore,95.62
PRD54ce4ee3,PRD562f0040,Hype Miami Sun Whipped Body Butter .,Hype Miami Beach Whipped Body Butter .,10.66,10.66,GBP,GBP,ebay - runwaybeautystore,ebay - runwaybeautystore,95.62
PRD54ce4ee3,PRD32ce8e3a,Hype Miami Sun Whipped Body Butter .,Hype Miami Glam Whipped Body Butter .,10.66,10.66,GBP,GBP,ebay - runwaybeautystore,ebay - runwaybeautystore,95.62
PRD235a75a0,PRD4710ced6,"Castor Oil Shampoo Bar & Shea Butter Conditioner Bar for Hair Growth & Hydration, Hydrating & Moistu",Castor Oil Shampoo Bar and Shea Butter Conditioner Bar,19.79,16.55,GBP,GBP,fruugo.co.uk,fruugo.co.uk,95.45
PRDdf774956,PRD8a5ed497,"DATSIT - Organic Body Butter | Handmade | Vegan | Cruelty Free | No Preservatives | No Artificial Ingredients | FRESH: Lavender, Lemon & Peppermint",DATSIT - Organic Body Butter | Handmade | Vegan | Cruelty Free | No Preservatives | No Artificial Ingredients | CITRUS: Orange & Lemon - (),15.0,15.0,GBP,GBP,amazon.co.uk - amazon.co.uk-seller,amazon.co.uk - amazon.co.uk-seller,95.42
PRD235a75a0,PRD7450f9c8,"Castor Oil Shampoo Bar & Shea Butter Conditioner Bar for Hair Growth & Hydration, Hydrating & Moistu","Castor Oil Bar Shea Butter Conditioner Bar For Hydration, Hydrating Bar For Dull Dry",19.79,18.95,GBP,GBP,fruugo.co.uk,fruugo.co.uk,94.84
PRD326a36e8,PRD314b68c4,Solid Conditioner Bar For Normal Hair,Solid Conditioner Bar For Oily Hair,9.5,9.5,GBP,GBP,bain & savon,bain & savon,94.62
PRDee0e9c6f,PRD32ce8e3a,Hype Miami Spice Whipped Body Butter .,Hype Miami Glam Whipped Body Butter .,10.66,10.66,GBP,GBP,ebay - runwaybeautystore,ebay - runwaybeautystore,94.62
PRD562f0040,PRD32ce8e3a,Hype Miami Beach Whipped Body Butter .,Hype Miami Glam Whipped Body Butter .,10.66,10.66,GBP,GBP,ebay - runwaybeautystore,ebay - runwaybeautystore,94.62
PRD314b68c4,PRDf7a3a1d1,Solid Conditioner Bar For Oily Hair,Solid Conditioner Bar for Greasy Roots and Fine Hair,9.5,9.5,GBP,GBP,bain & savon,buddha & bubbles soap co,94.62
PRD5fcf8db2,PRD32ce8e3a,Hype Miami Ocean Whipped Body Butter .,Hype Miami Glam Whipped Body Butter .,10.66,10.66,GBP,GBP,ebay - runwaybeautystore,ebay - runwaybeautystore,94.62
PRDfb997879,PRD314b68c4,Solid Conditioner Bar For Brittle And Heat Damaged Hair,Solid Conditioner Bar For Oily Hair,9.5,9.5,GBP,GBP,bain & savon,bain & savon,94.62
PRD562f0040,PRD5fcf8db2,Hype Miami Beach Whipped Body Butter .,Hype Miami Ocean Whipped Body Butter .,10.66,10.66,GBP,GBP,ebay - runwaybeautystore,ebay - runwaybeautystore,94.17
PRDee0e9c6f,PRD5fcf8db2,Hype Miami Spice Whipped Body Butter .,Hype Miami Ocean Whipped Body Butter .,10.66,10.66,GBP,GBP,ebay - runwaybeautystore,ebay - runwaybeautystore,94.17
PRD07323206,PRDd688d263,The Highland Soap Co. Wild Scottish Raspberry Shampoo Bar,The Highland Soap Co. Wild Nettle Shampoo Bar,7.75,7.75,GBP,GBP,the highland soap company,the highland soap company,93.95
PRD0b188afa,PRDda8bd98e,grüum Twin Pack Revitalising Shampoo Bar Solid Shampoo Bars for Hair Up to 60 Washes,grüum Twin Pack Shine Boost Shampoo Bar Solid Shampoo Bars for Hair Up to 60 Washes,16.0,16.0,GBP,GBP,amazon.co.uk - amazon.co.uk-seller,amazon.co.uk - amazon.co.uk-seller,93.91
PRDee0e9c6f,PRD562f0040,Hype Miami Spice Whipped Body Butter .,Hype Miami Beach Whipped Body Butter .,10.66,10.66,GBP,GBP,ebay - runwaybeautystore,ebay - runwaybeautystore,93.64
PRD8a5ed497,PRDcb51ca07,DATSIT - Organic Body Butter | Handmade | Vegan | Cruelty Free | No Preservatives | No Artificial Ingredients | CITRUS: Orange & Lemon - (),DATSIT - Organic Body Butter | Handmade | Vegan | Cruelty Free | No Preservatives | No Artificial Ingredients | FLORAL: Lavender & Rose - (),15.0,15.0,GBP,GBP,amazon.co.uk - amazon.co.uk-seller,amazon.co.uk - amazon.co.uk-seller,93.27
PRDa909a0ed,PRD7add762a,La Roche-Posay Mela B3 Serum,La Roche-Posay Retinol B3 Anti-Wrinkle Serum,38.4,38.4,GBP,GBP,la roche-posay official website,la roche-posay official website,93.14
PRD83f84d5b,PRD0940a8df,Garnier Ultimate Blends Delicate Oat Softening Shampoo Bar,Garnier Ultimate Blends Coconut Shampoo Bar,4.0,3.99,GBP,GBP,tesco,la image,92.8
PRDc5fa35a7,PRD0940a8df,Garnier Ultimate Blends Honey Treasures Strengthening Shampoo Bar,Garnier Ultimate Blends Coconut Shampoo Bar,4.0,3.99,GBP,GBP,boots.com,la image,92.8
PRD326a36e8,PRDf7a3a1d1,Solid Conditioner Bar For Normal Hair,Solid Conditioner Bar for Greasy Roots and Fine Hair,9.5,9.5,GBP,GBP,bain & savon,buddha & bubbles soap co,92.69
PRD326a36e8,PRDfb997879,Solid Conditioner Bar For Normal Hair,Solid Conditioner Bar For Brittle And Heat Damaged Hair,9.5,9.5,GBP,GBP,bain & savon,bain & savon,92.69
PRD392d044d,PRDcdd158d6,Friendly Soap Lavender Tea Tree Conditioner Bar,Friendly Soap Conditioner Bar Lavender & Geranium,8.99,9.0,GBP,GBP,friendly soap,hanover healthfoods,92.58
PRD5398d126,PRD6d59491f,Solid Conditioner Soothing Almond,Solid Conditioner Bar,10.01,10.37,GBP,GBP,panier des sens,blue jewel handcrafted,92.28
PRDf1e29bae,PRDd688d263,The Highland Soap Co. Seaweed Shampoo Bar,The Highland Soap Co. Wild Nettle Shampoo Bar,7.75,7.75,GBP,GBP,juniper,the highland soap company,92.22
PRDf1e29bae,PRD07323206,The Highland Soap Co. Seaweed Shampoo Bar,The Highland Soap Co. Wild Scottish Raspberry Shampoo Bar,7.75,7.75,GBP,GBP,juniper,the highland soap company,92.22
PRDdcccbaa1,PRDdcc49fb7,Organic Whipped Mango Body Butter,Organic Whipped Lemon Body Butter - Natural Body Butters | Organics.com Rose Geranium /,21.99,24.0,GBP,GBP,thealchemyremedy.co.uk,organics.com,92.16
PRD2b8595a0,PRD883c06b6,Hairy Jayne Floral Conditioner Bar,Hairy Jayne Naked Citrus Conditioner Bar,8.0,8.0,GBP,GBP,hairy jayne,hairy jayne,91.97
PRD29f7e218,PRDbc45741b,Davines Momo Shampoo Bar,Davines DEDE Shampoo Bar,18.5,18.5,GBP,GBP,sephora uk,north laine hair company,91.86
PRD12275e6b,PRDbc45741b,Davines Volu Shampoo Bar,Davines DEDE Shampoo Bar,18.5,18.5,GBP,GBP,sephora uk,north laine hair company,91.86
PRD29f7e218,PRD12275e6b,Davines Momo Shampoo Bar,Davines Volu Shampoo Bar,18.5,18.5,GBP,GBP,sephora uk,sephora uk,91.86
PRD0590e833,PRD12275e6b,Davines Love Shampoo Bar,Davines Volu Shampoo Bar,18.5,18.5,GBP,GBP,sephora uk,sephora uk,91.86
PRD29f7e218,PRD0590e833,Davines Momo Shampoo Bar,Davines Love Shampoo Bar,18.5,18.5,GBP,GBP,sephora uk,sephora uk,91.86
PRD0590e833,PRDbc45741b,Davines Love Shampoo Bar,Davines DEDE Shampoo Bar,18.5,18.5,GBP,GBP,sephora uk,north laine hair company,91.86
PRDd36ae70e,PRD94b2b6b1,Battle Green Natural Shampoo Bars (),Battle Green Natural Shampoo Bar: Lavender ( Bar) - Yes,5.55,7.65,GBP,GBP,battle green,battle green,91.52
PRD0f0d0418,PRDc6b2dce0,Kitsch Shampoo Bar Rice Water Protein,Kitsch Rice Water Protein Conditioner Bar,11.99,12.0,GBP,GBP,amazon.co.uk - amazon.co.uk-seller,next,91.51
PRD715008f1,PRD9a54b051,Hairy Jayne Floral Shampoo Bar,Hairy Jayne Solid Shampoo Bar,8.0,8.5,GBP,GBP,hairy jayne,zero store,91.33
PRD986bcd32,PRD177034ff,Tree Hut Vanilla Whipped Body Butter,Tree Hut Tropic Glow Whipped Shea Body Butter,15.99,15.99,GBP,GBP,boots.com,holland & barrett,91.25
PRD24781688,PRD636bbb8a,Kitsch Coconut Oil Deep Moisturizing Conditioner Bar,Kitsch - Coconut Oil Deep Moisturising Conditioner Soap Bar For,12.0,14.98,GBP,GBP,curl care,ebay - thebatteryshoop,91.2
PRD1f6b8f39,PRD839e5eb5,KIND2 The Restoring One Solid Conditioner Bar,The Restoring One - solid conditioner bar from KIND2,15.95,15.95,GBP,GBP,kind2,acala,90.91
PRD071b7656,PRDa5594821,Solid Shampoo Bar,HandMade Solid Shampoo Bar,4.99,4.99,GBP,GBP,amazon.co.uk - amazon.co.uk-seller,amazon.co.uk - amazon.co.uk-seller,90.91
PRDe3037209,PRDfd79310d,Luxplus Argan Oil Body Butter,Argan Oil Body Butter,1.0,1.0,GBP,GBP,wilko,the range,90.91
PRD071b7656,PRD1fd22000,Solid Shampoo Bar,Areton Honey Solid Shampoo Bar,4.99,4.99,GBP,GBP,amazon.co.uk - amazon.co.uk-seller,amazon.co.uk - amazon.co.uk-seller,90.91
PRD1fd22000,PRD38cba011,Areton Honey Solid Shampoo Bar,Areton Solid Shampoo Bar,4.99,4.99,GBP,GBP,amazon.co.uk - amazon.co.uk-seller,amazon.co.uk - amazon.co.uk-seller,90.91
PRD071b7656,PRDe7911849,Solid Shampoo Bar,Nourishing Rice Shampoo Bar with Shea Butter & Coconut Oil - Hair Growth and Strengthening Solid Shampoo Soap,4.99,4.99,GBP,GBP,amazon.co.uk - amazon.co.uk-seller,amazon.co.uk - amazon.co.uk-seller,90.91
PRD50e4bfbc,PRDb173d35a,Freedom Cosmetics Hair Conditioner Bar,Hair Conditioner Bar,7.99,8.0,GBP,GBP,freedom cosmetics,skinsolace.co.uk,90.9
PRDd8cac166,PRDb173d35a,Superfly Soap Hair Conditioner Bar,Hair Conditioner Bar,7.99,8.0,GBP,GBP,amazon.co.uk - amazon.co.uk-seller,skinsolace.co.uk,90.9
PRD071b7656,PRD353cb57a,Solid Shampoo Bar,Orange Spice Solid Shampoo Bar with Travel Tin,4.99,5.0,GBP,GBP,amazon.co.uk - amazon.co.uk-seller,the green turtle,90.89
PRD498ac8dd,PRD07c41c30,Mallows Beauty AHA Peachy Body Butter,Mallows Beauty Mermaid Body Butter,9.56,9.56,GBP,GBP,boots.com,boots.com,90.67
PRD886b018a,PRDe9b597c0,The Soap Mine Solid Conditioner Bar Lavender & Orange,Solid Conditioner Bar - Lavender,6.5,6.67,GBP,GBP,eco bee,ebay,90.65
PRD0940a8df,PRD9d7c5141,Garnier Ultimate Blends Coconut Shampoo Bar,Garnier Honey Shampoo Bar,3.99,3.99,GBP,GBP,la image,la image,90.45
PRD83f84d5b,PRD9d7c5141,Garnier Ultimate Blends Delicate Oat Softening Shampoo Bar,Garnier Honey Shampoo Bar,4.0,3.99,GBP,GBP,tesco,la image,90.43
PRDbb0cc63b,PRDd953bdc4,Solid Conditioner Bar Lavender and Geranium,"Solid Conditioner Bar with Avocado, Flax, Lavender and Rosemary",5.99,7.0,GBP,GBP,uneeka,etsy - folksoap,90.38
PRDad518304,PRD2c51af42,No7 Laboratories Firming Booster Serum,No7 Laboratories Line Correcting Booster Serum,34.95,29.99,GBP,GBP,no7 beauty,amazon.co.uk - amazon.co.uk-seller,90.35
PRD3ac1f6ed,PRD0940a8df,Garnier Ultimate Blends Argan & Camellia Shampoo Bar,Garnier Ultimate Blends Coconut Shampoo Bar,2.99,3.99,GBP,GBP,fabfinds,la image,90.31
PRD03dcabb3,PRD0965fae1,Nourishing Conditioner Bar,Curly & Dry Hair Conditioner Bar | Shea Butter & Olive Oil | Natural & Nourishing Solid Conditioner,7.0,7.5,GBP,GBP,marigold charms,riwaya,90.24
PRD6d6aa7db,PRDc46ef2cb,Whipped Body Butter,Monoi De Tahiti Double Whipped Body Butter,9.0,12.0,GBP,GBP,dee's shed,naturallythinking pure spa aromatherapy,90.23
PRD986bcd32,PRD67541c15,Tree Hut Vanilla Whipped Body Butter,Tree Hut Watermelon Whipped Body Butter,15.99,14.1,GBP,GBP,boots.com,notino.co.uk,90.07
